15/07/2022 00:03	13	ENE
15/07/2022 00:08	11.3	NE
15/07/2022 00:13	7.8	NE
15/07/2022 00:18	7	NE
15/07/2022 00:23	6.1	NE
15/07/2022 00:28	8.7	ENE
15/07/2022 00:33	7.8	E
15/07/2022 00:38	7	E
15/07/2022 00:43	6.1	E
15/07/2022 00:48	5.2	E
15/07/2022 00:53	3.5	E
15/07/2022 00:58	6.1	E
15/07/2022 01:03	10.4	ENE
15/07/2022 01:08	16.5	ENE
15/07/2022 01:13	16.5	ENE
15/07/2022 01:18	17.4	ENE
15/07/2022 01:23	13.9	ENE
15/07/2022 01:28	12.2	E
15/07/2022 01:38	13	E
15/07/2022 01:43	11.3	E
15/07/2022 01:48	9.6	ESE
15/07/2022 01:53	11.3	E
15/07/2022 01:58	15.7	E
15/07/2022 02:03	14.8	ENE
15/07/2022 02:08	17.4	ENE
15/07/2022 02:13	19.1	NE
15/07/2022 02:18	20	ENE
15/07/2022 02:23	18.3	NE
15/07/2022 02:28	17.4	NE
15/07/2022 02:33	13.9	NE
15/07/2022 02:38	18.3	ENE
15/07/2022 02:43	21.7	ENE
15/07/2022 02:48	17.4	ENE
15/07/2022 02:53	15.7	NE
15/07/2022 02:58	18.3	ENE
15/07/2022 03:03	15.7	ENE
15/07/2022 03:08	19.1	ENE
15/07/2022 03:13	16.5	ENE
15/07/2022 03:18	19.1	ENE
15/07/2022 03:23	18.3	ENE
15/07/2022 03:28	16.5	NE
15/07/2022 03:33	19.1	NE
15/07/2022 03:38	13.9	NE
15/07/2022 03:43	20.9	NE
15/07/2022 03:48	26.1	NE
15/07/2022 03:53	22.6	NE
15/07/2022 03:58	23.5	NE
15/07/2022 04:03	26.1	NE
15/07/2022 04:08	23.5	NE
15/07/2022 04:13	20.9	NE
15/07/2022 04:18	22.6	NE
15/07/2022 04:23	23.5	NE
15/07/2022 04:28	20	NE
15/07/2022 04:33	23.5	NE
15/07/2022 04:38	20	NE
15/07/2022 04:43	18.3	NE
15/07/2022 04:48	18.3	NE
15/07/2022 04:53	17.4	NE
15/07/2022 04:58	20.9	NE
15/07/2022 05:03	21.7	NE
15/07/2022 05:08	20.9	NE
15/07/2022 05:13	20.9	NE
15/07/2022 05:18	20.9	NE
15/07/2022 05:23	19.1	NE
15/07/2022 05:28	22.6	NE
15/07/2022 05:33	24.3	NNE
15/07/2022 05:38	23.5	NE
15/07/2022 05:43	20.9	NE
15/07/2022 05:48	19.1	NE
15/07/2022 05:53	20	NE
15/07/2022 05:58	20	NE
15/07/2022 06:03	18.3	NE
15/07/2022 06:08	19.1	NE
15/07/2022 06:13	20.9	NE
15/07/2022 06:18	22.6	NE
15/07/2022 06:23	17.4	NE
15/07/2022 06:28	18.3	NE
15/07/2022 06:33	16.5	NE
15/07/2022 06:38	15.7	NE
15/07/2022 06:43	17.4	ENE
15/07/2022 06:48	16.5	NE
15/07/2022 06:53	13.9	NE
15/07/2022 06:58	10.4	NE
15/07/2022 07:03	11.3	NE
15/07/2022 07:08	13.9	NNE
15/07/2022 07:13	18.3	NNE
15/07/2022 07:18	14.8	NNE
15/07/2022 07:23	14.8	NNE
15/07/2022 07:28	17.4	NNE
15/07/2022 07:33	17.4	NNE
15/07/2022 07:38	15.7	NNE
15/07/2022 07:43	11.3	NNE
15/07/2022 07:48	12.2	N
15/07/2022 07:53	8.7	N
15/07/2022 07:58	13	NNE
15/07/2022 08:03	19.1	NNE
15/07/2022 08:08	26.1	NNE
15/07/2022 08:13	23.5	N
15/07/2022 08:18	25.2	NNE
15/07/2022 08:23	21.7	NNE
15/07/2022 08:28	20	NNE
15/07/2022 08:33	20.9	NNE
15/07/2022 08:43	19.1	NNE
15/07/2022 08:48	19.1	NNE
15/07/2022 08:53	20.9	NNE
15/07/2022 08:58	22.6	NNE
15/07/2022 09:03	20.9	NNE
15/07/2022 09:08	20	NNE
15/07/2022 09:13	17.4	NNE
15/07/2022 09:18	19.1	NNE
15/07/2022 09:23	19.1	NNE
15/07/2022 09:28	19.1	NNE
15/07/2022 09:33	19.1	NNE
15/07/2022 09:38	19.1	NNE
15/07/2022 09:43	17.4	NE
15/07/2022 09:48	18.3	NNE
15/07/2022 09:53	17.4	NNE
15/07/2022 09:58	14.8	NNE
15/07/2022 10:03	11.3	NNE
15/07/2022 10:08	0.9	NNE
15/07/2022 10:13	7	W
15/07/2022 10:18	7.8	W
15/07/2022 10:23	8.7	WNW
15/07/2022 10:28	5.2	NW
15/07/2022 10:33	5.2	NNW
15/07/2022 10:38	6.1	NNW
15/07/2022 10:43	6.1	N
15/07/2022 10:48	9.6	NNE
15/07/2022 10:53	10.4	NNE
15/07/2022 10:58	11.3	NNE
15/07/2022 11:03	13	NNE
